yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,Middle ,Young,MY,vwretd,vwretx,rf3mo,comDivCRSP,ffnetiss,mcap,ldy_m,lcrspnpy,NBERBC,FFR,IP ,m1y,m3y,fbp1,fbp2,fbp3,fbp4,fbp5,pslq,pslqs,pslqf,sent_ort,sent,dsent_ort,dsent,cfnai,cfnai_ma3,mcs,vrp,iv,rv,lrs,cape,cpiinx,level,slope,curve,cpi,cpi_cp,ppi,f1,f2,f3,f4,f5,f6,f7,f8,yld1,yld3,yld6,yld9,yld12,yld15,yld18,yld21,yld24,yld30,yld36,yld48,yld60,yld72,yld84,yld96,yld108,yld120,my1,my3,my6,my9,my12,my15,my18,my21,my24,my30,my36,my48,my60,my72,my84,my96,my108,my120,alpha,omega,beta2(s),beta3 (c)
197609,105.24,3.9200,9.5500,0.7913632737,0.0508,0.0838,0.0940,0.0781,0.0237815187,0.0042243980,0.0040639000,0.0145,0.0167,0.0008906882,-0.0014566973,0.024421,0.022670,22732289.064289,38630650.1577962,0.5882435886,0.024484,0.022357,0.0506,1870.69,1531.22,884230.39,-3.34662,-2.10126,0,5.25,49.8152,0.05082,0.05153,94.439,88.314,82.148,76.394,70.435,-0.037754,0.020013,-0.0157267,-2.02,-1.67,0.55,-0.08,0.46,0.45,NaN,NaN,NaN,NaN,0.0759,11.81,135.5,16.0225642845,2.0345387814,0.4932696071,57.6,58.200,61.8,-0.3416938691,0.2976626159,0.3822959801,0.6732938451,-0.0818913972,-0.3138224807,-0.6382859924,-0.3614374634,5.085 ,5.157 ,5.440 ,5.576 ,5.726 ,5.867 ,6.018 ,6.155 ,6.227 ,6.433 ,6.577 ,6.732 ,6.912 ,7.218 ,7.345 ,7.439 ,7.512 ,7.547 ,0.5882435886,0.5876,0.586582118,0.5852972103,0.5838484136,0.5823018456,0.5807120079,0.5791242546,0.5775821364,0.5747264433,0.5721059935,0.5675404094,0.5640726036,0.5626977204,0.5638559656,0.5665145829,0.5701941063,0.5754218063,,,,
197610,102.90,3.9900,9.6700,0.8120796327,0.0492,0.0832,0.0929,0.0779,0.0255679700,0.0040916179,0.0040474000,0.0084,0.0070,0.0012699930,-0.0011566296,-0.020211,-0.021995,22725335.567309,38664189.8295232,0.5875916174,-0.020372,-0.022249,0.0489,1604.08,1342.54,870449.71,-3.33603,-2.10757,0,5.02,49.8442,0.04756,0.04978,94.693,88.744,82.923,77.169,71.412,-0.087292,-0.042125,0.00586552,-1.93,-1.68,0.53,-0.86,-0.36,0.17,NaN,NaN,NaN,NaN,0.0741,11.35,136.2,15.3242128164,2.0083066871,0.4304735588,57.9,58.500,61.9,0.2567965805,0.3676694045,0.1113045345,0.312769492,-0.5370679709,-0.5765045859,-0.2934179349,0.9282035706,4.759 ,4.984 ,5.191 ,5.311 ,5.420 ,5.631 ,5.810 ,5.934 ,5.918 ,6.194 ,6.238 ,6.474 ,6.731 ,7.040 ,7.200 ,7.313 ,7.401 ,7.448 ,0.5875916174,0.5870,0.5858334055,0.5844493197,0.5829323881,0.5813430072,0.5797321996,0.5781443019,0.5766187179,0.5738097271,0.5712312495,0.5667630383,0.5634513728,0.562355431,0.5637387009,0.566569266,0.5703714405,0.5759062675,,,,
197611,102.10,4.0500,9.7900,0.8272629379,0.0475,0.0825,0.0923,0.0749,0.0278942414,0.0039505197,0.0028810000,0.0339,0.0319,0.0011179254,-0.0009224102,-0.001041,-0.008628,22719309.623181,38699007.100251,0.5869565646,0.005364,-0.001438,0.0442,5707.86,1765.09,871929.37,-3.27778,-2.10382,0,4.95,50.5814,0.04347,0.04497,95.204,89.896,84.525,79.126,73.876,-0.081948,-0.021818,-0.0250568,-2.06,-1.73,-0.85,0.31,1.34,0.48,NaN,NaN,NaN,NaN,0.0729,11.25,136.5,13.8081079563,1.7590624347,0.4398547105,58,58.700,62,-1.0050644749,1.0047578791,-0.3489488329,-0.7074540377,1.0427365744,0.266807545,0.871010684,1.5178257978,4.350 ,4.499 ,4.670 ,4.806 ,4.918 ,5.071 ,5.170 ,5.329 ,5.329 ,5.506 ,5.608 ,5.863 ,6.056 ,6.448 ,6.381 ,6.582 ,6.986 ,7.163 ,0.5869565646,0.5863,0.5850246887,0.5835511634,0.5819759228,0.58035423,0.5787317729,0.5771529039,0.5756506862,0.5728904191,0.5703586583,0.5659934975,0.5628503427,0.5620420827,0.5636427567,0.5666438873,0.5705718589,0.5764321899,,,,
197612,107.46,4.0900,9.9100,0.7799731250,0.0435,0.0798,0.0912,0.0721,0.0285657060,0.0036184455,0.0028727000,0.0327,0.0347,0.0005762273,-0.0011227041,0.053775,0.052170,22714179.1265838,38736194.4803566,0.5863183352,0.061591,0.0593,0.0434,1786.38,3475.36,929084.51,-3.34464,-2.13782,0,4.65,51.1140,0.04257,0.04404,95.357,89.97,84.327,79.374,73.739,-0.025285,0.055159,-0.01133119,-1.73,-1.62,0.77,0.37,1.36,0.78,NaN,NaN,NaN,NaN,0.0687,11.60,136.9,13.6740202496,1.8846021916,0.4981447794,58.2,58.900,62.5,-0.8473403765,1.198385347,0.3254603834,0.0262047394,0.9334318015,1.2073097807,-0.3755514101,-0.0341683348,4.260 ,4.413 ,4.609 ,4.742 ,4.771 ,5.019 ,5.155 ,5.244 ,5.305 ,5.513 ,5.686 ,5.775 ,6.091 ,6.411 ,6.351 ,6.429 ,6.756 ,6.892 ,0.5863183352,0.5856,0.584147187,0.5825987991,0.5809779928,0.5793349581,0.5777120875,0.5761514049,0.5746788769,0.5719688004,0.5694884177,0.5652324879,0.5622710827,0.5617575422,0.5635681375,0.5667380425,0.5707974565,0.5769994865,,,,
197701,102.03,4.1400,9.9667,0.8210652053,0.0462,0.0796,0.0908,0.0764,0.0295989600,0.0038426077,0.0057208000,-0.0388,-0.0303,0.0006956300,-0.0015928437,-0.049654,-0.051167,22709894.0001369,38776715.0002348,0.5856580167,-0.036337,-0.038006,0.0472,1463.76,1107,892581.66,-3.29518,-2.13089,0,4.61,50.8439,0.04551,0.04856,94.566,88.556,82.331,76.453,71.355,-0.062482,-0.043452,-0.0306556,-1.66,-1.47,-0.46,-0.93,0.01,0.90,NaN,NaN,NaN,NaN,0.0721,11.44,137.6,15.4776742866,2.3289563755,0.2366860782,58.5,59.300,62.8,-0.1834772794,-0.2304117082,0.2559233426,0.4986883173,-1.1761125268,-1.4780832085,0.6542055128,-0.6462733026,4.554 ,4.827 ,5.153 ,5.341 ,5.591 ,5.808 ,5.966 ,5.988 ,6.030 ,6.264 ,6.485 ,6.721 ,6.756 ,7.045 ,7.095 ,7.244 ,7.360 ,7.401 ,0.5856580167,0.5847,0.5831962267,0.5815913489,0.5799398825,0.5782875383,0.576675768,0.5751420339,0.5737047636,0.5710458466,0.5686212487,0.5644811812,0.5617154627,0.5615017845,0.5635151193,0.566851543,0.571050646,0.5776079414,,,,
197702,99.82,4.1900,10.0233,0.8368039982,0.0467,0.0804,0.0912,0.0775,0.0279694334,0.0038841137,0.0102158000,-0.0049,-0.0020,0.0003346755,-0.0016537032,-0.015638,-0.022400,22702470.335817,38823706.4142606,0.5847245854,-0.01576,-0.021785,0.047,5177.14,348.91,876855.29,-3.25129,-2.0992,0,4.68,51.6205,0.04429,0.04794,94.688,88.713,82.484,76.312,70.919,-0.00043496,0.038132,-0.01138171,-1.43,-1.37,1.11,0.05,1.43,0.93,NaN,NaN,NaN,NaN,0.0739,11.01,139.1,15.3621420617,2.4953955386,0.3326827183,59.1,59.700,63.5,-1.2564732527,0.2709106406,1.0520261224,-0.7853624751,0.1421968918,0.8688073088,-1.1451440196,1.9239231042,4.535 ,4.789 ,5.073 ,5.288 ,5.462 ,5.691 ,5.795 ,5.961 ,5.992 ,6.228 ,6.416 ,6.764 ,6.884 ,7.106 ,7.198 ,7.333 ,7.437 ,7.377 ,0.5847245854,0.5837,0.582171259,0.5805309063,0.5788650445,0.577215933,0.5756265592,0.5741277882,0.5727303797,0.5701231752,0.5677583603,0.5637411918,0.5611856017,0.5612748871,0.5634842222,0.566984429,0.5713340956,0.5782572202,,,,
197703,98.42,4.2500,10.0800,0.8684299283,0.0460,0.0810,0.0912,0.0772,0.0303375593,0.0038260048,0.0061920000,0.0091,0.0094,0.0006657328,-0.0017320885,-0.012502,-0.014548,22695980.9673207,38875307.7784009,0.5837513137,-0.009246,-0.011794,0.0454,2187.21,-5066.12,861037.17,-3.23063,-2.03958,0,4.69,52.2436,0.04541,0.04609,94.789,88.857,82.638,76.564,70.963,-0.056296,0.034792,0.01272469,-1.49,-1.31,-0.48,-0.70,1.66,1.03,NaN,NaN,NaN,NaN,0.0746,10.90,140,15.1997105952,2.4767604432,0.4851582792,59.5,60.000,64.1,-1.6387955163,0.78962108,-1.0805467904,0.6025176135,-0.1510909882,-0.0760187835,0.6182901763,0.595568409,4.535 ,4.612 ,4.888 ,5.153 ,5.322 ,5.583 ,5.719 ,5.831 ,5.920 ,6.177 ,6.354 ,6.676 ,6.846 ,7.058 ,7.098 ,7.101 ,7.391 ,7.340 ,0.5837513137,0.5827,0.5811147091,0.5794483306,0.5777769529,0.5761411092,0.5745821425,0.5731234338,0.5717625246,0.5692107686,0.5669056412,0.5630166588,0.5606871238,0.5610773632,0.563479722,0.5671358443,0.5716543482,0.5789458172,,,,
197704,98.44,4.3100,10.1933,0.8611500701,0.0454,0.0804,0.0907,0.0771,0.0311393585,0.0037761945,0.0078256000,0.0071,0.0100,0.0009848512,-0.0016386999,0.000641,-0.000503,22690564.2416451,38931833.5783974,0.5827393163,0.004952,0.003554,0.0469,1114.96,996.8,862895.6,-3.23074,-2.04318,0,4.73,52.7407,0.04388,0.04763,94.733,88.676,82.729,76.434,71.042,-0.010723,-0.0086045,-0.02916583,-1.48,-1.31,1.33,2.14,1.06,1.38,NaN,NaN,NaN,NaN,0.0737,10.64,141.2,15.2598820179,2.4846979886,0.3193777197,60,60.300,64.9,-1.111747151,0.2577410979,0.4549802332,0.6911934011,0.0098536379,-0.5838248056,-0.0923397672,0.6292758121,4.391 ,4.766 ,5.039 ,5.336 ,5.462 ,5.656 ,5.809 ,5.960 ,6.001 ,6.196 ,6.314 ,6.713 ,6.834 ,7.032 ,7.241 ,7.357 ,7.447 ,7.466 ,0.5827393163,0.5817,0.5800313707,0.5783494083,0.5766815966,0.5750686605,0.5735471553,0.5721324005,0.5708038075,0.5683108183,0.5660648615,0.5623098174,0.560222257,0.5609094336,0.5635023008,0.5673063711,0.5720141377,0.5796732625,,,,
197705,96.12,4.3600,10.3067,0.8882113369,0.0496,0.0805,0.0901,0.0765,0.0353156385,0.0041248146,0.0055525000,0.0125,0.0106,0.0006348017,-0.0013541819,-0.015064,-0.023541,22686334.2159821,38993414.2208286,0.5816915546,-0.010785,-0.018014,0.0503,6285.65,1389.74,850557.09,-3.18295,-2.0315,0,5.35,53.1415,0.04835,0.05113,94.511,88.548,82.699,76.649,71.21,-0.033328,-0.01069,0.01656455,-1.75,-1.49,-1.26,-1.73,1.06,1.26,NaN,NaN,NaN,NaN,0.0746,10.55,141.9,15.6410514106,1.9949955463,0.3613163544,60.3,60.600,65.2,-1.120896124,-0.0167267475,-0.654130733,0.3617503599,-0.7446725429,-0.17060526,0.0850441804,-0.2714747876,4.839 ,5.104 ,5.353 ,5.555 ,5.649 ,5.845 ,5.934 ,6.049 ,6.085 ,6.223 ,6.337 ,6.647 ,6.805 ,6.938 ,7.142 ,7.261 ,7.349 ,6.984 ,0.5816915546,0.5806,0.5789271569,0.577240591,0.575585315,0.57400419,0.5725260187,0.5711578047,0.5698568517,0.5674254522,0.5652378649,0.5616230801,0.5597930924,0.5607713659,0.5635525622,0.5674969041,0.572416013,0.5804390765,,,,
197706,100.48,4.4000,10.4200,0.8711120812,0.0502,0.0795,0.0891,0.0754,0.0319412841,0.0041746075,0.0066225000,0.0164,0.0175,0.0005633646,-0.0015935849,0.047776,0.045705,22683375.4582654,39059997.9470447,0.5806125735,0.051367,0.04871,0.0498,2077.68,2515.75,893272.88,-3.22669,-2.05555,0,5.39,53.5183,0.04949,0.05071,94.545,88.757,83.083,77.205,71.824,-0.0086455,0.019561,0.01922035,-1.92,-1.49,-0.82,0.11,1.07,1.07,NaN,NaN,NaN,NaN,0.0728,10.53,142.8,15.4193554948,1.7552881872,0.4052177981,60.7,61.000,65,-1.0006538372,0.0989802328,-0.0657522147,0.642847579,0.1902622384,0.2316489311,-0.5640494768,0.6724756815,4.953 ,5.074 ,5.326 ,5.496 ,5.613 ,5.719 ,5.794 ,5.886 ,5.976 ,6.083 ,6.175 ,6.468 ,6.620 ,6.755 ,6.979 ,7.096 ,7.179 ,6.880 ,0.5806125735,0.5795,0.5778087985,0.5761268056,0.5744945378,0.5729530921,0.5715227736,0.5701961145,0.5689242037,0.5665566638,0.5644265165,0.5609589835,0.5594015288,0.5606634606,0.5636310016,0.5677086434,0.5728622734,0.5812427844,,,,
